Time,Temperature,Humidity
19.03.2018 09:31:23,24,33
19.03.2018 09:31:28,24,33
19.03.2018 09:31:33,24,33
19.03.2018 09:31:38,24,33
19.03.2018 09:31:43,24,34
19.03.2018 09:31:48,24,33
19.03.2018 09:31:53,24,33
19.03.2018 09:31:58,24,33
19.03.2018 09:32:03,24,33
19.03.2018 09:32:08,24,33
19.03.2018 09:32:13,24,33
19.03.2018 09:32:18,24,33
19.03.2018 09:32:23,24,33
19.03.2018 09:32:28,24,33
19.03.2018 09:32:33,24,33
19.03.2018 09:32:38,24,33
19.03.2018 09:32:43,24,33
19.03.2018 09:32:48,24,33
19.03.2018 09:32:53,24,33
19.03.2018 09:32:58,24,33
19.03.2018 09:33:03,24,33
19.03.2018 09:33:08,24,33
19.03.2018 09:33:14,24,33
19.03.2018 09:33:19,24,34
19.03.2018 09:33:24,24,33
19.03.2018 09:33:29,24,33
19.03.2018 09:33:34,24,33
19.03.2018 09:33:39,24,33
19.03.2018 09:33:44,24,33
19.03.2018 09:33:49,24,33
19.03.2018 09:33:54,24,33
19.03.2018 09:33:59,24,33
19.03.2018 09:34:04,24,33
19.03.2018 09:34:09,24,33
19.03.2018 09:34:14,24,33
19.03.2018 09:34:19,24,33
19.03.2018 09:34:24,24,33
19.03.2018 09:34:29,24,33
19.03.2018 09:34:34,24,33
19.03.2018 09:34:39,24,33
19.03.2018 09:34:44,24,34
19.03.2018 09:34:49,24,33
19.03.2018 09:34:54,24,33
19.03.2018 09:34:59,24,33
19.03.2018 09:35:04,24,34
19.03.2018 09:35:09,24,33
19.03.2018 09:35:14,24,33
19.03.2018 09:35:19,24,33
19.03.2018 09:35:24,24,33
19.03.2018 09:35:29,24,33
19.03.2018 09:35:34,24,33
19.03.2018 09:35:39,24,33
19.03.2018 09:35:44,24,33
19.03.2018 09:35:49,24,33
19.03.2018 09:35:54,24,33
19.03.2018 09:35:59,24,33
19.03.2018 09:36:04,24,33
19.03.2018 09:36:09,24,33
19.03.2018 09:36:14,24,33
19.03.2018 09:36:19,24,33
19.03.2018 09:36:24,24,33
19.03.2018 09:36:29,24,33
19.03.2018 09:36:34,24,33
19.03.2018 09:36:39,24,33
19.03.2018 09:36:44,24,33
19.03.2018 09:36:49,24,33
19.03.2018 09:36:54,24,33
19.03.2018 09:36:59,24,34
19.03.2018 09:37:04,24,33
19.03.2018 09:37:09,24,33
19.03.2018 09:37:14,24,33
19.03.2018 09:37:19,24,33
19.03.2018 09:37:24,24,33
19.03.2018 09:37:29,24,33
19.03.2018 09:37:34,24,33
19.03.2018 09:37:39,24,33
